country,country_code,country_code_2_digit,country_code_3_digit,cases_Count,deaths_Count,population,source,reported_date
Austria,AUT,AT,AUT,754,0,8858775,"Epidemic intelligence, national daily data",2020-09-10
Andorra,AND,AD,AND,0,0,76177,"Epidemic intelligence, national daily data",2020-06-29
Czechia,CZE,CZ,CZE,9720,58,10649800,"Epidemic intelligence, national daily data",2020-10-16
Azerbaijan,AZE,AZ,AZE,230,2,10139175,"Epidemic intelligence, national daily data",2020-05-30
Cyprus,CYP,CY,CYP,20,0,875899,"Epidemic intelligence, national daily data",2020-09-21
Bulgaria,BGR,BG,BGR,41,5,7000039,"Epidemic intelligence, national daily data",2020-05-22
Czechia,CZE,CZ,CZE,3123,7,10649800,"Epidemic intelligence, national daily data",2020-09-18
Belarus,BLR,BY,BLR,936,4,9449321,"Epidemic intelligence, national daily data",2020-05-20
Croatia,HRV,HR,HRV,225,1,4076246,"Epidemic intelligence, national daily data",2020-09-07
Denmark,DNK,DK,DNK,177,13,5806081,"Epidemic intelligence, national daily data",2020-04-12
Albania,ALB,AL,ALB,0,0,2862427,"Epidemic intelligence, national daily data",2020-01-06
Belgium,BEL,BE,BEL,442,71,11455519,"Epidemic intelligence, national daily data",2020-05-08
Croatia,HRV,HR,HRV,0,0,4076246,"Epidemic intelligence, national daily data",2020-05-24
Armenia,ARM,AM,ARM,0,0,2963234,"Epidemic intelligence, national daily data",2020-02-04
Belarus,BLR,BY,BLR,159,6,9449321,"Epidemic intelligence, national daily data",2020-07-18
Bosnia and Herzegovina,BIH,BA,BIH,4,7,3280815,"Epidemic intelligence, national daily data",2020-10-05
Estonia,EST,EE,EST,3,0,1324820,"Epidemic intelligence, national daily data",2020-05-21
Estonia,EST,EE,EST,0,0,1324820,"Epidemic intelligence, national daily data",2020-02-12
Denmark,DNK,DK,DNK,536,1,5806081,"Epidemic intelligence, national daily data",2020-10-03
Albania,ALB,AL,ALB,0,0,2862427,"Epidemic intelligence, national daily data",2020-02-17
Croatia,HRV,HR,HRV,0,0,4076246,"Epidemic intelligence, national daily data",2020-01-28
Azerbaijan,AZE,AZ,AZE,101,1,10139175,"Epidemic intelligence, national daily data",2020-05-16
Estonia,EST,EE,EST,3,1,1324820,"Epidemic intelligence, national daily data",2020-08-25
Belgium,BEL,BE,BEL,113,2,11455519,"Epidemic intelligence, national daily data",2020-06-27
Austria,AUT,AT,AUT,279,22,8858775,"Epidemic intelligence, national daily data",2020-04-10
Isle of Man,IMN,,,0,0,85032,"Epidemic intelligence, national daily data",2020-03-18
Montenegro,MNE,ME,MNE,13,0,622182,"Epidemic intelligence, national daily data",2020-04-06
Germany,DEU,DE,DEU,3965,64,83019213,"Epidemic intelligence, national daily data",2020-03-29
Liechtenstein,LIE,LI,LIE,0,0,38378,"Epidemic intelligence, national daily data",2020-07-15
Moldova,MDA,MD,MDA,0,0,4033963,"Epidemic intelligence, national daily data",2020-02-06
Luxembourg,LUX,LU,LUX,74,0,613894,"Epidemic intelligence, national daily data",2020-07-20
Luxembourg,LUX,LU,LUX,10,1,613894,"Epidemic intelligence, national daily data",2020-05-14
Finland,FIN,FI,FIN,58,0,5517919,"Epidemic intelligence, national daily data",2020-09-21
Malta,MLT,MT,MLT,0,0,493559,"Epidemic intelligence, national daily data",2020-01-18
Montenegro,MNE,ME,MNE,0,0,622182,"Epidemic intelligence, national daily data",2020-06-14
Liechtenstein,LIE,LI,LIE,0,0,38378,"Epidemic intelligence, national daily data",2020-07-25
Gibraltar,GIB,GI,GIB,0,0,33691,"Epidemic intelligence, national daily data",2020-07-16
Iceland,ISL,IS,ISL,3,0,356991,"Epidemic intelligence, national daily data",2020-08-18
Guernsey,GGY,GG,GGY,0,0,64468,"Epidemic intelligence, national daily data",2020-09-23
Isle of Man,IMN,,,0,0,85032,"Epidemic intelligence, national daily data",2020-09-26
Lithuania,LTU,LT,LTU,0,0,2794184,"Epidemic intelligence, national daily data",2020-01-30
Montenegro,MNE,ME,MNE,232,3,622182,"Epidemic intelligence, national daily data",2020-10-06
Latvia,LVA,LV,LVA,250,1,1919968,"Epidemic intelligence, national daily data",2020-10-24
Luxembourg,LUX,LU,LUX,862,3,613894,"Epidemic intelligence, national daily data",2020-10-25
Finland,FIN,FI,FIN,5,0,5517919,"Epidemic intelligence, national daily data",2020-03-17
Iceland,ISL,IS,ISL,57,0,356991,"Epidemic intelligence, national daily data",2020-09-24
Greece,GRC,EL,GRC,229,4,10724599,"Epidemic intelligence, national daily data",2020-10-05
Iceland,ISL,IS,ISL,0,0,356991,"Epidemic intelligence, national daily data",2020-01-02
Italy,ITA,IT,ITA,2086,323,60359546,"Epidemic intelligence, national daily data",2020-04-30
Gibraltar,GIB,GI,GIB,0,0,33691,"Epidemic intelligence, national daily data",2020-08-04
Iceland,ISL,IS,ISL,0,0,356991,"Epidemic intelligence, national daily data",2020-05-11
Faroes,FRO,,,0,0,48865,"Epidemic intelligence, national daily data",2020-10-12
Netherlands,NLD,NL,NLD,777,234,17282163,"Epidemic intelligence, national daily data",2020-04-08
Kosovo,RKS,,,0,0,1798506,"Epidemic intelligence, national daily data",2020-02-10
Luxembourg,LUX,LU,LUX,110,0,613894,"Epidemic intelligence, national daily data",2020-09-17
Iceland,ISL,IS,ISL,0,0,356991,"Epidemic intelligence, national daily data",2020-02-15
Ireland,IRL,IE,IRL,8,3,4904240,"Epidemic intelligence, national daily data",2020-06-24
Isle of Man,IMN,,,0,0,85032,"Epidemic intelligence, national daily data",2020-05-29
Italy,ITA,IT,ITA,238,4,60359546,"Epidemic intelligence, national daily data",2020-02-29
Montenegro,MNE,ME,MNE,28,0,622182,"Epidemic intelligence, national daily data",2020-07-02
Netherlands,NLD,NL,NLD,3253,13,17282163,"Epidemic intelligence, national daily data",2020-10-02
Iceland,ISL,IS,ISL,10,0,356991,"Epidemic intelligence, national daily data",2020-03-10
Ireland,IRL,IE,IRL,0,0,4904240,"Epidemic intelligence, national daily data",2020-02-12
Germany,DEU,DE,DEU,955,0,83019213,"Epidemic intelligence, national daily data",2020-08-01
Ireland,IRL,IE,IRL,0,0,4904240,"Epidemic intelligence, national daily data",2020-03-02
Latvia,LVA,LV,LVA,11,0,1919968,"Epidemic intelligence, national daily data",2020-09-12
Finland,FIN,FI,FIN,269,0,5517919,"Epidemic intelligence, national daily data",2020-10-11
Germany,DEU,DE,DEU,477,21,83019213,"Epidemic intelligence, national daily data",2020-06-26
Moldova,MDA,MD,MDA,0,0,4033963,"Epidemic intelligence, national daily data",2020-03-01
Finland,FIN,FI,FIN,291,0,5517919,"Epidemic intelligence, national daily data",2020-10-16
Monaco,MCO,MC,MCO,8,0,33085,"Epidemic intelligence, national daily data",2020-10-23
France,FRA,FR,FRA,492,186,67012883,"Epidemic intelligence, national daily data",2020-05-19
Liechtenstein,LIE,LI,LIE,0,0,38378,"Epidemic intelligence, national daily data",2020-02-27
Gibraltar,GIB,GI,GIB,0,0,33691,"Epidemic intelligence, national daily data",2020-05-23
Jersey,JEY,JE,JEY,0,2,107796,"Epidemic intelligence, national daily data",2020-05-01
Ireland,IRL,IE,IRL,0,0,4904240,"Epidemic intelligence, national daily data",2020-02-03
Malta,MLT,MT,MLT,0,0,493559,"Epidemic intelligence, national daily data",2020-07-20
Gibraltar,GIB,GI,GIB,0,0,33691,"Epidemic intelligence, national daily data",2020-05-16
Hungary,HUN,HU,HUN,0,0,9772756,"Epidemic intelligence, national daily data",2020-02-11
Spain,ESP,ES,ESP,2144,15,46937060,"Epidemic intelligence, national daily data",2020-03-15
the Holy See/ Vatican City State,VAT,VA,VAT,0,0,809,"Epidemic intelligence, national daily data",2020-03-06
United Kingdom,GBR,UK,GBR,880,20,66647112,"Epidemic intelligence, national daily data",2020-08-01
Slovakia,SVK,SK,SVK,37,0,5450421,"Epidemic intelligence, national daily data",2020-04-02
Poland,POL,PL,POL,294,21,37972812,"Epidemic intelligence, national daily data",2020-06-25
Portugal,PRT,PT,PRT,375,3,10276617,"Epidemic intelligence, national daily data",2020-06-20
Slovakia,SVK,SK,SVK,7,0,5450421,"Epidemic intelligence, national daily data",2020-08-03
Portugal,PRT,PT,PRT,178,11,10276617,"Epidemic intelligence, national daily data",2020-05-06
Turkey,TUR,TR,TUR,967,15,82003882,"Epidemic intelligence, national daily data",2020-07-31
Norway,NOR,NO,NOR,152,0,5328212,"Epidemic intelligence, national daily data",2020-09-24
Slovakia,SVK,SK,SVK,1,0,5450421,"Epidemic intelligence, national daily data",2020-07-21
Switzerland,CHE,CH,CHE,974,56,8544527,"Epidemic intelligence, national daily data",2020-04-05
North Macedonia,MKD,MK,MKD,138,7,2077132,"Epidemic intelligence, national daily data",2020-08-02
Switzerland,CHE,CH,CHE,353,6,8544527,"Epidemic intelligence, national daily data",2020-03-19
Ukraine,UKR,UA,UKR,664,14,43733759,"Epidemic intelligence, national daily data",2020-07-02
United Kingdom,GBR,UK,GBR,639,14,66647112,"Epidemic intelligence, national daily data",2020-06-23
Ukraine,UKR,UA,UKR,0,0,43733759,"Epidemic intelligence, national daily data",2020-01-12
San Marino,SMR,SM,SMR,0,0,34453,"Epidemic intelligence, national daily data",2020-06-03
Turkey,TUR,TR,TUR,0,0,82003882,"Epidemic intelligence, national daily data",2020-03-05
Turkey,TUR,TR,TUR,0,0,82003882,"Epidemic intelligence, national daily data",2020-01-05
North Macedonia,MKD,MK,MKD,29,4,2077132,"Epidemic intelligence, national daily data",2020-05-02
Slovenia,SVN,SI,SVN,15,0,2080908,"Epidemic intelligence, national daily data",2020-07-01
Spain,ESP,ES,ESP,8532,27,46937060,"Epidemic intelligence, national daily data",2020-08-03
Ukraine,UKR,UA,UKR,4420,43,43733759,"Epidemic intelligence, national daily data",2020-10-13
San Marino,SMR,SM,SMR,28,0,34453,"Epidemic intelligence, national daily data",2020-10-23
