country,country_code_2_digit,country_code_3_digit,population,reported_year_week,reported_week_start_date,reported_week_end_date,source,new_hospital_occupancy_Count,new_icu_occupancy_Count
Netherlands,NL,NLD,17282163,2020-W43,2020-10-18,2020-10-24,,,1.86897901611043
Romania,RO,ROU,19414458,2020-W43,2020-10-18,2020-10-24,"TESSy COVID-19, national weekly data",136.042942841876,
Portugal,PT,PRT,10276617,2020-W43,2020-10-18,2020-10-24,"TESSy COVID-19, national daily data",2.3840530400228,
Estonia,EE,EST,1324820,2020-W43,2020-10-18,2020-10-24,"TESSy COVID-19, national weekly data",,0.301927809060854
United Kingdom,UK,GBR,66647112,2020-W43,2020-10-18,2020-10-24,,10.2585090258675,
Iceland,IS,ISL,356991,2020-W43,2020-10-18,2020-10-24,"TESSy COVID-19, national weekly data",14.8463126521397,
Ireland,IE,IRL,4904240,2020-W43,2020-10-18,2020-10-24,,4.44513319087157,0.244686230690178
Sweden,SE,SWE,10230185,2020-W43,2020-10-18,2020-10-24,,,0.273699840227718
Spain,ES,ESP,46937060,2020-W43,2020-10-18,2020-10-24,"TESSy COVID-19, national weekly data",6.40645153318082,0.323837922528595
Greece,EL,GRC,10724599,2020-W43,2020-10-18,2020-10-24,"TESSy COVID-19, national weekly data",,0.512839687525846
France,FR,FRA,67012883,2020-W43,2020-10-18,2020-10-24,,,2.70992668678349
Latvia,LV,LVA,1919968,2020-W43,2020-10-18,2020-10-24,"TESSy COVID-19, national weekly data",6.45844097401623,0.416673611226854
Slovenia,SI,SVN,2080908,2020-W43,2020-10-18,2020-10-24,"TESSy COVID-19, national weekly data",7.59283927977594,
Belgium,BE,BEL,11455519,2020-W43,2020-10-18,2020-10-24,"TESSy COVID-19, national weekly data",28.3793340135877,
Czechia,CZ,CZE,10649800,2020-W43,2020-10-18,2020-10-24,"TESSy COVID-19, national weekly data",81.9545906965389,14.9298578377059
Denmark,DK,DNK,5806081,2020-W43,2020-10-18,2020-10-24,,2.79017809086715,
Netherlands,NL,NLD,17282163,2020-W43,2020-10-18,2020-10-24,"TESSy COVID-19, national daily data",2.09464521310209,
Cyprus,CY,CYP,875899,2020-W42,2020-10-11,2020-10-17,"TESSy COVID-19, national daily data",2.39753670229102,0.342505243184431
Estonia,EE,EST,1324820,2020-W42,2020-10-11,2020-10-17,"TESSy COVID-19, national daily data",0.377409761326067,
Estonia,EE,EST,1324820,2020-W42,2020-10-11,2020-10-17,"TESSy COVID-19, national weekly data",,0.150963904530427
France,FR,FRA,67012883,2020-W42,2020-10-11,2020-10-17,,,2.00409225790211
Belgium,BE,BEL,11455519,2020-W42,2020-10-11,2020-10-17,"TESSy COVID-19, national weekly data",15.4510677342511,
Latvia,LV,LVA,1919968,2020-W42,2020-10-11,2020-10-17,"TESSy COVID-19, national weekly data",2.70837847297455,0.31250520842014
Netherlands,NL,NLD,17282163,2020-W42,2020-10-11,2020-10-17,,,1.52758656425125
Croatia,HR,HRV,4076246,2020-W42,2020-10-11,2020-10-17,,12.8304327069564,
Sweden,SE,SWE,10230185,2020-W42,2020-10-11,2020-10-17,,,0.185724891583095
Czechia,CZ,CZE,10649800,2020-W42,2020-10-11,2020-10-17,"TESSy COVID-19, national weekly data",53.6348100433811,10.7325959172942
United Kingdom,UK,GBR,66647112,2020-W42,2020-10-11,2020-10-17,,10.1684826193219,
Ireland,IE,IRL,4904240,2020-W42,2020-10-11,2020-10-17,,3.05857788362723,0.183514673017634
Denmark,DK,DNK,5806081,2020-W42,2020-10-11,2020-10-17,,2.49738162454158,
Romania,RO,ROU,19414458,2020-W42,2020-10-11,2020-10-17,"TESSy COVID-19, national weekly data",118.792911962827,
Spain,ES,ESP,46937060,2020-W42,2020-10-11,2020-10-17,"TESSy COVID-19, national weekly data",9.60222050550248,0.664719946242905
Iceland,IS,ISL,356991,2020-W42,2020-10-11,2020-10-17,"TESSy COVID-19, national weekly data",4.76202481295047,
Greece,EL,GRC,10724599,2020-W42,2020-10-11,2020-10-17,"TESSy COVID-19, national weekly data",,0.354325602290585
Portugal,PT,PRT,10276617,2020-W42,2020-10-11,2020-10-17,"TESSy COVID-19, national daily data",2.43270718369674,
Netherlands,NL,NLD,17282163,2020-W42,2020-10-11,2020-10-17,"TESSy COVID-19, national daily data",2.87001112071446,
Slovenia,SI,SVN,2080908,2020-W42,2020-10-11,2020-10-17,"TESSy COVID-19, national weekly data",7.59283927977594,
Netherlands,NL,NLD,17282163,2020-W41,2020-10-04,2020-10-10,,,1.05889523203779
Greece,EL,GRC,10724599,2020-W41,2020-10-04,2020-10-10,"TESSy COVID-19, national weekly data",,0.382298676155631
Iceland,IS,ISL,356991,2020-W41,2020-10-04,2020-10-10,"TESSy COVID-19, national weekly data",6.44273945281534,
Netherlands,NL,NLD,17282163,2020-W41,2020-10-04,2020-10-10,"TESSy COVID-19, national daily data",2.42446503947452,
Belgium,BE,BEL,11455519,2020-W41,2020-10-04,2020-10-10,"TESSy COVID-19, national weekly data",7.68188678313047,
Estonia,EE,EST,1324820,2020-W41,2020-10-04,2020-10-10,"TESSy COVID-19, national weekly data",,0.301927809060854
Ireland,IE,IRL,4904240,2020-W41,2020-10-04,2020-10-10,,2.22256659543579,0.0815620768967261
Spain,ES,ESP,46937060,2020-W41,2020-10-04,2020-10-10,"TESSy COVID-19, national weekly data",9.14629079878459,0.703069173910765
Romania,RO,ROU,19414458,2020-W41,2020-10-04,2020-10-10,"TESSy COVID-19, national weekly data",94.357514384383,
Denmark,DK,DNK,5806081,2020-W41,2020-10-04,2020-10-10,,1.87734204879333,
Portugal,PT,PRT,10276617,2020-W41,2020-10-04,2020-10-10,"TESSy COVID-19, national daily data",1.77101082973122,
United Kingdom,UK,GBR,66647112,2020-W41,2020-10-04,2020-10-10,,7.29964113073647,
Latvia,LV,LVA,1919968,2020-W41,2020-10-04,2020-10-10,"TESSy COVID-19, national weekly data",2.55212586876448,0.15625260421007
France,FR,FRA,67012883,2020-W41,2020-10-04,2020-10-10,,,1.35794784414812
Cyprus,CY,CYP,875899,2020-W41,2020-10-04,2020-10-10,"TESSy COVID-19, national daily data",0.456673657579241,
Croatia,HR,HRV,4076246,2020-W41,2020-10-04,2020-10-10,,8.31647550221454,
Estonia,EE,EST,1324820,2020-W41,2020-10-04,2020-10-10,"TESSy COVID-19, national daily data",0.754819522652134,
Czechia,CZ,CZE,10649800,2020-W41,2020-10-04,2020-10-10,"TESSy COVID-19, national weekly data",32.5546019643561,7.75601419744972
Sweden,SE,SWE,10230185,2020-W41,2020-10-04,2020-10-10,,,0.1661749029954
Slovenia,SI,SVN,2080908,2020-W41,2020-10-04,2020-10-10,"TESSy COVID-19, national weekly data",4.42114692240118,
France,FR,FRA,67012883,2020-W40,2020-09-27,2020-10-03,,,1.33257958771898
Croatia,HR,HRV,4076246,2020-W40,2020-09-27,2020-10-03,,5.69151125815272,
Spain,ES,ESP,46937060,2020-W40,2020-09-27,2020-10-03,"TESSy COVID-19, national weekly data",7.59101656558805,0.613587642685758
Cyprus,CY,CYP,875899,2020-W40,2020-09-27,2020-10-03,"TESSy COVID-19, national daily data",0.456673657579241,0.342505243184431
Belgium,BE,BEL,11455519,2020-W40,2020-09-27,2020-10-03,"TESSy COVID-19, national weekly data",4.72261448826544,
Portugal,PT,PRT,10276617,2020-W40,2020-09-27,2020-10-03,"TESSy COVID-19, national daily data",1.54720176883112,
Latvia,LV,LVA,1919968,2020-W40,2020-09-27,2020-10-03,"TESSy COVID-19, national weekly data",1.35418923648728,0.208336805613427
Netherlands,NL,NLD,17282163,2020-W40,2020-09-27,2020-10-03,"TESSy COVID-19, national daily data",1.93841476903094,
Netherlands,NL,NLD,17282163,2020-W40,2020-09-27,2020-10-03,,,0.676998590974984
